question,option_a,option_b,option_c,option_d,answer,category,difficulty
What is 78 + 99?,180,177,175,184,177,Quantitative,Easy
What is the square of 9?,82,80,86,81,81,Quantitative,Hard
"Find the next letter in the series: N, O, P, ?",P,S,R,Q,Q,Logical,Medium
Choose the synonym of 'benefit'.,small,late,weak,advantage,advantage,Verbal,Medium
"If 8 workers finish a task in 3 days, how many worker-days are needed?",26,22,24,29,24,Puzzle,Medium
What is 62 + 43?,105,112,108,103,105,Quantitative,Easy
What is the square of 17?,294,290,288,289,289,Quantitative,Hard
"Find the next letter in the series: P, Q, R, ?",T,U,R,S,S,Logical,Medium
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Easy
"If 3 workers finish a task in 2 days, how many worker-days are needed?",6,8,11,4,6,Puzzle,Easy
What is 61 + 13?,77,74,81,72,74,Quantitative,Easy
What is the square of 15?,226,225,224,230,225,Quantitative,Easy
"Find the next letter in the series: O, P, Q, ?",Q,R,S,T,R,Logical,Easy
Choose the synonym of 'bright'.,smart,late,weak,small,smart,Verbal,Hard
"If 4 workers finish a task in 9 days, how many worker-days are needed?",38,41,36,34,36,Puzzle,Hard
What is 47 + 50?,97,95,100,104,97,Quantitative,Easy
What is the square of 11?,122,126,120,121,121,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",O,P,R,Q,P,Logical,Medium
Choose the synonym of 'rapid'.,late,fast,weak,small,fast,Verbal,Hard
"If 2 workers finish a task in 10 days, how many worker-days are needed?",20,25,18,22,20,Puzzle,Medium
What is 70 + 59?,136,132,127,129,129,Quantitative,Hard
What is the square of 5?,25,26,24,30,25,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",N,O,Q,P,O,Logical,Medium
Choose the synonym of 'ancient'.,small,old,weak,late,old,Verbal,Medium
"If 5 workers finish a task in 10 days, how many worker-days are needed?",52,48,50,55,50,Puzzle,Medium
What is 14 + 49?,66,63,61,70,63,Quantitative,Hard
What is the square of 5?,25,24,30,26,25,Quantitative,Easy
"Find the next letter in the series: I, J, K, ?",N,K,M,L,L,Logical,Easy
Choose the synonym of 'honest'.,weak,late,small,truthful,truthful,Verbal,Hard
"If 7 workers finish a task in 10 days, how many worker-days are needed?",75,68,72,70,70,Puzzle,Medium
What is 77 + 20?,95,104,97,100,97,Quantitative,Easy
What is the square of 19?,361,362,366,360,361,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",V,U,T,W,U,Logical,Medium
Choose the synonym of 'benefit'.,weak,advantage,small,late,advantage,Verbal,Medium
"If 8 workers finish a task in 7 days, how many worker-days are needed?",58,61,54,56,56,Puzzle,Easy
What is 38 + 55?,96,91,93,100,93,Quantitative,Medium
What is the square of 5?,26,25,30,24,25,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",E,F,H,G,F,Logical,Medium
Choose the synonym of 'bright'.,small,smart,late,weak,smart,Verbal,Hard
"If 10 workers finish a task in 3 days, how many worker-days are needed?",35,32,30,28,30,Puzzle,Easy
What is 92 + 46?,145,138,141,136,138,Quantitative,Hard
What is the square of 14?,196,195,201,197,196,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",P,Q,S,R,Q,Logical,Medium
Choose the synonym of 'honest'.,late,small,weak,truthful,truthful,Verbal,Easy
"If 9 workers finish a task in 3 days, how many worker-days are needed?",32,27,29,25,27,Puzzle,Medium
What is 55 + 48?,101,110,103,106,103,Quantitative,Medium
What is the square of 13?,169,170,168,174,169,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",K,L,M,N,L,Logical,Hard
Choose the synonym of 'benefit'.,small,weak,advantage,late,advantage,Verbal,Medium
"If 4 workers finish a task in 9 days, how many worker-days are needed?",36,38,41,34,36,Puzzle,Medium
What is 65 + 96?,168,159,164,161,161,Quantitative,Easy
What is the square of 8?,63,64,69,65,64,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",H,G,J,I,H,Logical,Medium
Choose the synonym of 'ancient'.,weak,small,late,old,old,Verbal,Easy
"If 3 workers finish a task in 3 days, how many worker-days are needed?",11,9,14,7,9,Puzzle,Hard
What is 87 + 76?,166,163,170,161,163,Quantitative,Hard
What is the square of 7?,48,50,54,49,49,Quantitative,Medium
"Find the next letter in the series: J, K, L, ?",M,N,O,L,M,Logical,Medium
Choose the synonym of 'rapid'.,weak,late,small,fast,fast,Verbal,Hard
"If 9 workers finish a task in 9 days, how many worker-days are needed?",83,79,81,86,81,Puzzle,Hard
What is 23 + 57?,83,78,80,87,80,Quantitative,Hard
What is the square of 17?,288,294,290,289,289,Quantitative,Medium
"Find the next letter in the series: D, E, F, ?",F,H,I,G,G,Logical,Easy
Choose the synonym of 'bright'.,weak,late,small,smart,smart,Verbal,Easy
"If 6 workers finish a task in 6 days, how many worker-days are needed?",41,34,38,36,36,Puzzle,Easy
What is 86 + 66?,150,152,155,159,152,Quantitative,Hard
What is the square of 10?,105,99,101,100,100,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",K,J,I,L,J,Logical,Hard
Choose the synonym of 'benefit'.,late,weak,advantage,small,advantage,Verbal,Easy
"If 8 workers finish a task in 8 days, how many worker-days are needed?",69,62,64,66,64,Puzzle,Medium
What is 58 + 87?,143,148,145,152,145,Quantitative,Easy
What is the square of 11?,120,121,122,126,121,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",U,X,W,V,V,Logical,Easy
Choose the synonym of 'ancient'.,late,small,old,weak,old,Verbal,Easy
"If 2 workers finish a task in 7 days, how many worker-days are needed?",12,16,14,19,14,Puzzle,Easy
What is 98 + 85?,181,183,186,190,183,Quantitative,Easy
What is the square of 13?,174,169,170,168,169,Quantitative,Medium
"Find the next letter in the series: U, V, W, ?",Z,Y,X,W,X,Logical,Easy
Choose the synonym of 'honest'.,weak,late,small,truthful,truthful,Verbal,Medium
"If 4 workers finish a task in 4 days, how many worker-days are needed?",14,16,21,18,16,Puzzle,Medium
What is 94 + 38?,132,130,135,139,132,Quantitative,Medium
What is the square of 9?,82,81,86,80,81,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",Z,Y,X,W,X,Logical,Medium
Choose the synonym of 'rapid'.,fast,weak,late,small,fast,Verbal,Hard
"If 5 workers finish a task in 6 days, how many worker-days are needed?",30,28,32,35,30,Puzzle,Medium
What is 47 + 11?,56,58,65,61,58,Quantitative,Medium
What is the square of 6?,35,37,36,41,36,Quantitative,Hard
"Find the next letter in the series: B, C, D, ?",D,E,F,G,E,Logical,Easy
Choose the synonym of 'ancient'.,late,small,weak,old,old,Verbal,Hard
"If 5 workers finish a task in 8 days, how many worker-days are needed?",40,42,38,45,40,Puzzle,Hard
What is 58 + 40?,101,96,98,105,98,Quantitative,Medium
What is the square of 5?,26,30,24,25,25,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",S,T,Q,R,R,Logical,Easy
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Hard
"If 4 workers finish a task in 4 days, how many worker-days are needed?",16,21,14,18,16,Puzzle,Medium
What is 62 + 16?,85,78,81,76,78,Quantitative,Medium
What is the square of 20?,405,401,399,400,400,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",J,K,I,H,I,Logical,Easy
Choose the synonym of 'bright'.,small,smart,weak,late,smart,Verbal,Easy
"If 7 workers finish a task in 8 days, how many worker-days are needed?",58,56,54,61,56,Puzzle,Hard
What is 70 + 52?,129,125,120,122,122,Quantitative,Hard
What is the square of 9?,80,82,81,86,81,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",G,I,J,H,H,Logical,Hard
Choose the synonym of 'bright'.,late,small,smart,weak,smart,Verbal,Easy
"If 2 workers finish a task in 5 days, how many worker-days are needed?",10,15,8,12,10,Puzzle,Easy
What is 15 + 46?,64,68,61,59,61,Quantitative,Easy
What is the square of 15?,225,226,230,224,225,Quantitative,Medium
"Find the next letter in the series: J, K, L, ?",L,N,M,O,M,Logical,Medium
Choose the synonym of 'honest'.,truthful,small,weak,late,truthful,Verbal,Hard
"If 8 workers finish a task in 5 days, how many worker-days are needed?",38,45,40,42,40,Puzzle,Easy
What is 53 + 92?,148,152,143,145,145,Quantitative,Easy
What is the square of 3?,8,14,9,10,9,Quantitative,Medium
"Find the next letter in the series: N, O, P, ?",P,S,Q,R,Q,Logical,Easy
Choose the synonym of 'ancient'.,late,small,old,weak,old,Verbal,Easy
"If 7 workers finish a task in 2 days, how many worker-days are needed?",16,12,14,19,14,Puzzle,Medium
What is 22 + 21?,50,43,41,46,43,Quantitative,Medium
What is the square of 5?,24,26,25,30,25,Quantitative,Hard
"Find the next letter in the series: L, M, N, ?",N,P,Q,O,O,Logical,Hard
Choose the synonym of 'benefit'.,small,late,weak,advantage,advantage,Verbal,Hard
"If 10 workers finish a task in 4 days, how many worker-days are needed?",45,42,38,40,40,Puzzle,Hard
What is 89 + 95?,191,182,187,184,184,Quantitative,Hard
What is the square of 8?,63,65,64,69,64,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",U,V,T,W,U,Logical,Hard
Choose the synonym of 'benefit'.,weak,late,advantage,small,advantage,Verbal,Hard
"If 7 workers finish a task in 5 days, how many worker-days are needed?",37,40,35,33,35,Puzzle,Medium
What is 12 + 44?,59,56,54,63,56,Quantitative,Hard
What is the square of 17?,288,290,294,289,289,Quantitative,Easy
"Find the next letter in the series: G, H, I, ?",L,J,K,I,J,Logical,Medium
Choose the synonym of 'bright'.,smart,late,small,weak,smart,Verbal,Hard
"If 6 workers finish a task in 8 days, how many worker-days are needed?",48,50,46,53,48,Puzzle,Easy
What is 64 + 42?,109,113,106,104,106,Quantitative,Medium
What is the square of 13?,170,174,168,169,169,Quantitative,Hard
"Find the next letter in the series: M, N, O, ?",O,R,Q,P,P,Logical,Easy
Choose the synonym of 'honest'.,weak,small,truthful,late,truthful,Verbal,Hard
"If 4 workers finish a task in 4 days, how many worker-days are needed?",21,16,14,18,16,Puzzle,Medium
What is 27 + 10?,40,35,37,44,37,Quantitative,Medium
What is the square of 10?,99,105,100,101,100,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",O,P,Q,R,P,Logical,Easy
Choose the synonym of 'rapid'.,small,weak,fast,late,fast,Verbal,Hard
"If 2 workers finish a task in 4 days, how many worker-days are needed?",13,8,6,10,8,Puzzle,Hard
What is 86 + 43?,136,129,127,132,129,Quantitative,Easy
What is the square of 6?,36,41,35,37,36,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",T,U,R,S,S,Logical,Easy
Choose the synonym of 'bright'.,weak,late,smart,small,smart,Verbal,Hard
"If 5 workers finish a task in 9 days, how many worker-days are needed?",45,47,50,43,45,Puzzle,Medium
What is 90 + 24?,114,112,117,121,114,Quantitative,Easy
What is the square of 9?,81,80,86,82,81,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",H,F,G,I,G,Logical,Hard
Choose the synonym of 'benefit'.,late,advantage,weak,small,advantage,Verbal,Hard
"If 5 workers finish a task in 7 days, how many worker-days are needed?",37,35,40,33,35,Puzzle,Medium
What is 75 + 66?,139,148,144,141,141,Quantitative,Easy
What is the square of 6?,36,35,37,41,36,Quantitative,Easy
"Find the next letter in the series: Q, R, S, ?",U,S,T,V,T,Logical,Hard
Choose the synonym of 'benefit'.,weak,small,advantage,late,advantage,Verbal,Hard
"If 5 workers finish a task in 8 days, how many worker-days are needed?",42,38,45,40,40,Puzzle,Hard
What is 29 + 44?,73,71,80,76,73,Quantitative,Easy
What is the square of 8?,65,63,69,64,64,Quantitative,Hard
"Find the next letter in the series: U, V, W, ?",Y,Z,W,X,X,Logical,Medium
Choose the synonym of 'rapid'.,late,weak,fast,small,fast,Verbal,Medium
"If 10 workers finish a task in 4 days, how many worker-days are needed?",45,40,42,38,40,Puzzle,Medium
What is 95 + 31?,124,133,126,129,126,Quantitative,Medium
What is the square of 19?,360,362,361,366,361,Quantitative,Hard
"Find the next letter in the series: A, B, C, ?",F,D,C,E,D,Logical,Medium
Choose the synonym of 'ancient'.,old,small,late,weak,old,Verbal,Easy
"If 4 workers finish a task in 8 days, how many worker-days are needed?",30,37,32,34,32,Puzzle,Easy
What is 33 + 57?,93,97,90,88,90,Quantitative,Medium
What is the square of 8?,63,65,64,69,64,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",V,X,W,U,V,Logical,Easy
Choose the synonym of 'ancient'.,small,old,weak,late,old,Verbal,Medium
"If 7 workers finish a task in 10 days, how many worker-days are needed?",70,72,75,68,70,Puzzle,Hard
What is 15 + 69?,91,82,84,87,84,Quantitative,Hard
What is the square of 6?,36,37,35,41,36,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",I,H,G,F,G,Logical,Easy
Choose the synonym of 'ancient'.,weak,old,small,late,old,Verbal,Medium
"If 6 workers finish a task in 7 days, how many worker-days are needed?",40,47,44,42,42,Puzzle,Hard
What is 91 + 62?,160,153,151,156,153,Quantitative,Easy
What is the square of 12?,149,145,143,144,144,Quantitative,Easy
"Find the next letter in the series: B, C, D, ?",E,F,D,G,E,Logical,Medium
Choose the synonym of 'honest'.,late,truthful,weak,small,truthful,Verbal,Medium
"If 7 workers finish a task in 4 days, how many worker-days are needed?",33,28,30,26,28,Puzzle,Easy
What is 28 + 86?,117,121,112,114,114,Quantitative,Easy
What is the square of 6?,37,35,36,41,36,Quantitative,Hard
"Find the next letter in the series: N, O, P, ?",R,Q,S,P,Q,Logical,Easy
Choose the synonym of 'honest'.,weak,truthful,small,late,truthful,Verbal,Easy
"If 3 workers finish a task in 3 days, how many worker-days are needed?",14,11,7,9,9,Puzzle,Hard
What is 62 + 16?,85,78,76,81,78,Quantitative,Easy
What is the square of 17?,289,288,290,294,289,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",M,J,K,L,K,Logical,Easy
Choose the synonym of 'honest'.,weak,late,truthful,small,truthful,Verbal,Easy
"If 3 workers finish a task in 7 days, how many worker-days are needed?",19,23,26,21,21,Puzzle,Hard
What is 64 + 65?,127,132,136,129,129,Quantitative,Hard
What is the square of 13?,168,170,169,174,169,Quantitative,Easy
"Find the next letter in the series: M, N, O, ?",R,P,O,Q,P,Logical,Easy
Choose the synonym of 'rapid'.,late,fast,small,weak,fast,Verbal,Easy
"If 7 workers finish a task in 8 days, how many worker-days are needed?",56,54,61,58,56,Puzzle,Hard
What is 70 + 29?,102,99,106,97,99,Quantitative,Medium
What is the square of 4?,15,16,21,17,16,Quantitative,Easy
"Find the next letter in the series: F, G, H, ?",I,K,H,J,I,Logical,Hard
Choose the synonym of 'ancient'.,small,old,late,weak,old,Verbal,Easy
"If 3 workers finish a task in 3 days, how many worker-days are needed?",14,9,7,11,9,Puzzle,Easy
What is 74 + 77?,154,149,151,158,151,Quantitative,Easy
What is the square of 5?,24,30,25,26,25,Quantitative,Hard
"Find the next letter in the series: P, Q, R, ?",R,S,U,T,S,Logical,Hard
Choose the synonym of 'bright'.,late,smart,weak,small,smart,Verbal,Hard
"If 8 workers finish a task in 4 days, how many worker-days are needed?",30,32,34,37,32,Puzzle,Easy
What is 83 + 36?,126,122,119,117,119,Quantitative,Medium
What is the square of 18?,325,324,323,329,324,Quantitative,Medium
"Find the next letter in the series: U, V, W, ?",Y,Z,X,W,X,Logical,Medium
Choose the synonym of 'bright'.,small,weak,smart,late,smart,Verbal,Hard
"If 7 workers finish a task in 8 days, how many worker-days are needed?",56,54,61,58,56,Puzzle,Easy
What is 10 + 58?,68,66,75,71,68,Quantitative,Medium
What is the square of 9?,82,81,86,80,81,Quantitative,Medium
"Find the next letter in the series: C, D, E, ?",E,G,F,H,F,Logical,Easy
Choose the synonym of 'rapid'.,weak,small,late,fast,fast,Verbal,Hard
"If 2 workers finish a task in 4 days, how many worker-days are needed?",13,10,8,6,8,Puzzle,Hard
What is 36 + 43?,82,77,86,79,79,Quantitative,Medium
What is the square of 16?,255,261,257,256,256,Quantitative,Medium
"Find the next letter in the series: I, J, K, ?",M,N,K,L,L,Logical,Hard
Choose the synonym of 'rapid'.,late,weak,small,fast,fast,Verbal,Easy
"If 6 workers finish a task in 4 days, how many worker-days are needed?",26,24,22,29,24,Puzzle,Hard
What is 66 + 27?,93,96,91,100,93,Quantitative,Hard
What is the square of 15?,225,224,230,226,225,Quantitative,Hard
"Find the next letter in the series: K, L, M, ?",M,N,O,P,N,Logical,Medium
Choose the synonym of 'bright'.,small,late,weak,smart,smart,Verbal,Hard
"If 10 workers finish a task in 6 days, how many worker-days are needed?",62,65,58,60,60,Puzzle,Medium
What is 64 + 86?,150,153,157,148,150,Quantitative,Hard
What is the square of 16?,256,255,257,261,256,Quantitative,Hard
"Find the next letter in the series: G, H, I, ?",K,J,I,L,J,Logical,Easy
Choose the synonym of 'benefit'.,weak,advantage,small,late,advantage,Verbal,Hard
"If 6 workers finish a task in 6 days, how many worker-days are needed?",38,41,36,34,36,Puzzle,Easy
What is 80 + 88?,166,171,175,168,168,Quantitative,Easy
What is the square of 13?,168,170,169,174,169,Quantitative,Hard
"Find the next letter in the series: O, P, Q, ?",T,Q,R,S,R,Logical,Easy
Choose the synonym of 'ancient'.,old,weak,small,late,old,Verbal,Easy
"If 2 workers finish a task in 6 days, how many worker-days are needed?",14,12,10,17,12,Puzzle,Easy
What is 38 + 87?,132,128,123,125,125,Quantitative,Hard
What is the square of 13?,170,168,169,174,169,Quantitative,Hard
"Find the next letter in the series: F, G, H, ?",K,H,J,I,I,Logical,Hard
Choose the synonym of 'ancient'.,small,old,weak,late,old,Verbal,Medium
"If 7 workers finish a task in 9 days, how many worker-days are needed?",65,63,68,61,63,Puzzle,Medium
